accX,accY,accZ,gyroX,gyroY,gyroZ
0.18,0.20,1.63,-10.38,-9.45,1.35
0.17,0.20,1.61,-10.58,-10.12,1.21
0.19,0.19,1.61,-12.36,-13.18,1.16
0.19,0.18,1.60,-11.58,-11.64,1.13
0.18,0.18,1.60,-9.89,-9.55,0.77
0.21,0.18,1.63,-10.88,-9.76,1.11
0.15,0.19,1.55,-3.27,-3.58,-0.12
0.12,0.14,1.60,-13.64,7.10,1.99
0.31,0.18,1.63,-9.45,-25.60,0.47
0.13,0.17,1.59,-10.34,-5.39,1.37
0.26,0.15,1.63,-11.96,-12.16,1.53
0.20,0.16,1.59,-6.77,-10.39,1.00
0.22,0.15,1.61,-7.13,-6.99,1.50
0.21,0.14,1.58,-2.46,-4.66,0.82
0.21,0.16,1.60,-0.69,-2.12,0.60
0.22,0.15,1.62,-1.75,-3.17,0.69
0.22,0.16,1.61,-1.00,-4.10,0.66
0.22,0.15,1.61,-1.69,-3.40,0.80
0.22,0.15,1.61,-1.14,-3.69,0.62
0.22,0.15,1.62,-1.05,-3.21,0.63
0.22,0.15,1.60,-1.34,-3.52,0.67
0.22,0.15,1.61,-0.49,-2.94,0.45
0.21,0.15,1.61,-0.23,-2.67,0.53
0.22,0.15,1.61,-0.53,-2.88,0.53
0.22,0.16,1.61,-0.28,-2.99,0.50
0.23,0.15,1.62,-0.51,-3.55,0.51
0.23,0.15,1.61,-0.27,-3.36,0.55
0.22,0.15,1.61,-0.26,-3.11,0.64
0.22,0.15,1.62,-0.09,-2.57,0.47
0.22,0.15,1.61,-0.50,-2.82,0.55
0.22,0.15,1.61,-0.13,-2.48,0.53
0.22,0.15,1.61,-0.33,-2.74,0.53
0.22,0.15,1.61,-0.02,-2.30,0.51
0.22,0.15,1.61,-0.03,-2.30,0.52
0.22,0.15,1.61,-0.09,-2.15,0.53
0.22,0.15,1.61,-0.05,-2.29,0.63
0.22,0.15,1.61,0.05,-2.20,0.63
0.22,0.15,1.61,-0.16,-2.51,0.73
0.22,0.15,1.62,-0.24,-2.30,0.67
0.22,0.16,1.62,-0.02,-2.05,0.60
0.22,0.16,1.61,0.04,-2.15,0.59
0.22,0.15,1.61,-0.24,-2.73,0.64
0.22,0.15,1.61,-0.40,-2.49,0.60
0.22,0.16,1.61,-0.10,-2.68,0.55
0.14,0.14,1.61,0.07,2.55,0.54
0.21,0.14,1.62,-0.49,2.10,0.81
0.23,0.15,1.60,-1.34,-1.40,0.76
0.24,0.16,1.61,0.08,-3.25,0.42
0.23,0.16,1.62,0.41,-3.01,0.38
0.23,0.15,1.61,0.05,-3.38,0.43
0.22,0.16,1.61,0.18,-3.21,0.41
0.22,0.15,1.61,0.10,-2.83,0.38
0.22,0.15,1.61,-0.14,-2.32,0.60
0.22,0.15,1.61,-0.24,-2.23,0.56
0.22,0.15,1.60,-0.18,-2.34,0.56
0.22,0.15,1.61,-0.19,-2.42,0.53
0.22,0.15,1.61,-0.31,-2.47,0.53
0.22,0.15,1.61,-0.26,-2.41,0.57
0.22,0.15,1.61,-0.05,-2.31,0.42
0.22,0.15,1.61,-0.20,-2.33,0.50
0.22,0.15,1.61,-0.11,-2.27,0.43
0.22,0.15,1.61,-0.08,-2.36,0.45
0.22,0.15,1.61,-0.14,-2.64,0.49
0.22,0.15,1.61,-0.24,-2.50,0.56
0.22,0.15,1.61,-0.11,-2.40,0.53
0.22,0.15,1.61,-0.10,-2.44,0.50
0.22,0.15,1.61,-0.27,-2.37,0.53
0.22,0.15,1.61,-0.21,-2.27,0.60
0.22,0.15,1.61,0.08,-2.50,0.46
0.22,0.15,1.61,-0.07,-2.40,0.46
0.22,0.15,1.61,-0.11,-2.43,0.53
0.22,0.15,1.61,-0.14,-2.45,0.54
0.22,0.15,1.61,0.03,-2.69,0.47
0.22,0.15,1.63,-0.43,-3.07,0.64
0.22,0.15,1.63,-0.28,-1.74,0.66
0.22,0.15,1.63,-0.39,-1.81,0.65
0.23,0.15,1.63,-0.01,-1.81,0.55
0.23,0.15,1.62,0.11,-2.59,0.45
0.23,0.15,1.62,-0.12,-3.17,0.56
0.23,0.15,1.62,-0.43,-3.04,0.57
0.22,0.15,1.62,-0.06,-2.72,0.49
0.22,0.15,1.61,0.00,-2.56,0.44
0.22,0.15,1.61,0.00,-2.69,0.43
0.22,0.15,1.61,0.05,-2.69,0.52
0.22,0.15,1.61,0.05,-2.66,0.56
0.22,0.15,1.61,0.07,-2.35,0.52
0.22,0.15,1.61,0.00,-2.18,0.49
0.22,0.15,1.61,-0.06,-2.16,0.49
0.22,0.15,1.61,-0.07,-2.38,0.47
0.22,0.15,1.61,-0.05,-2.44,0.50
0.22,0.15,1.61,-0.05,-2.36,0.60
0.22,0.15,1.61,-0.18,-2.26,0.50
0.22,0.15,1.61,-0.12,-2.40,0.48
0.22,0.15,1.61,0.00,-2.30,0.53
0.22,0.15,1.61,-0.03,-2.46,0.57
0.22,0.15,1.61,-0.06,-2.26,0.56
0.22,0.15,1.61,-0.05,-2.28,0.50
0.22,0.15,1.61,-0.05,-2.35,0.52
0.22,0.15,1.60,0.02,-2.20,0.45
0.22,0.15,1.60,-0.37,-3.12,0.43
0.22,0.15,1.60,-0.11,-2.73,0.45
0.22,0.15,1.61,-0.10,-2.21,0.53
0.21,0.15,1.61,-0.16,-2.04,0.60
0.22,0.15,1.61,-0.11,-1.89,0.52
0.22,0.15,1.61,0.14,-1.92,0.39
0.22,0.15,1.61,0.09,-2.14,0.50
0.22,0.15,1.61,-0.45,-2.24,0.51
0.22,0.15,1.61,-0.30,-2.36,0.53
0.22,0.15,1.61,0.01,-2.24,0.50
0.22,0.15,1.61,0.05,-2.24,0.46
0.22,0.15,1.61,-0.03,-2.58,0.53
0.22,0.15,1.61,-0.04,-2.49,0.53
0.22,0.15,1.61,0.00,-2.47,0.51
0.22,0.15,1.61,-0.08,-2.43,0.43
0.22,0.15,1.61,-0.12,-2.31,0.56
0.22,0.15,1.61,-0.19,-2.48,0.53
0.22,0.15,1.61,-0.13,-2.33,0.49
0.22,0.15,1.61,-0.03,-2.27,0.50
0.22,0.15,1.61,0.02,-2.37,0.37
0.22,0.15,1.61,0.06,-2.25,0.48
0.22,0.15,1.61,0.06,-2.40,0.48
0.22,0.15,1.61,0.00,-2.27,0.56
0.22,0.15,1.61,-0.08,-2.40,0.45
0.22,0.15,1.61,-0.18,-2.48,0.53
0.22,0.15,1.61,-0.14,-2.56,0.43
0.22,0.15,1.61,-0.11,-2.36,0.51
0.22,0.15,1.61,-0.07,-2.33,0.56
0.22,0.15,1.61,-0.02,-2.48,0.50
0.22,0.15,1.61,-0.05,-2.25,0.50
0.22,0.15,1.61,0.07,-2.35,0.43
0.22,0.15,1.61,0.13,-2.42,0.50
0.22,0.15,1.61,0.00,-2.35,0.57
0.22,0.15,1.61,-0.07,-2.42,0.58
0.22,0.15,1.61,0.03,-2.36,0.54
0.22,0.15,1.61,-0.10,-2.32,0.51
0.22,0.15,1.61,-0.15,-2.43,0.50
0.22,0.15,1.61,-0.02,-2.40,0.63
0.22,0.15,1.61,0.02,-2.30,0.49
0.22,0.15,1.61,0.06,-2.32,0.47
0.22,0.15,1.61,-0.04,-2.42,0.47
0.22,0.15,1.61,-0.11,-2.37,0.50
0.22,0.15,1.61,-0.02,-2.41,0.53
0.22,0.15,1.61,-0.02,-2.33,0.55
0.22,0.15,1.61,-0.16,-2.27,0.50
0.22,0.15,1.61,-0.04,-2.40,0.40
0.22,0.15,1.61,-0.08,-2.27,0.58
0.22,0.15,1.61,0.00,-2.33,0.58
0.22,0.15,1.61,-0.04,-2.32,0.54
0.22,0.15,1.61,-0.08,-2.30,0.55
0.22,0.15,1.61,-0.17,-2.24,0.57
0.22,0.15,1.61,-0.14,-2.24,0.50
0.22,0.15,1.61,-0.15,-2.30,0.50
0.22,0.15,1.61,-0.05,-2.47,0.53
0.22,0.15,1.61,0.03,-2.31,0.53
0.22,0.15,1.61,-0.07,-2.23,0.58
0.22,0.15,1.61,0.06,-2.26,0.53
0.22,0.15,1.61,0.00,-2.37,0.44
0.22,0.15,1.61,-0.02,-2.40,0.47
0.22,0.15,1.61,-0.02,-2.28,0.52
0.22,0.15,1.61,-0.11,-2.43,0.43
0.22,0.15,1.61,-0.09,-2.38,0.51
0.22,0.15,1.61,-0.08,-2.43,0.47
0.22,0.15,1.61,-0.04,-2.40,0.55
0.22,0.15,1.61,-0.12,-2.51,0.63
0.22,0.15,1.61,-0.05,-2.43,0.47
0.22,0.15,1.61,-0.08,-2.46,0.44
0.22,0.15,1.61,-0.18,-2.41,0.49
0.22,0.15,1.61,-0.22,-2.40,0.40
0.22,0.15,1.61,-0.14,-2.39,0.43
0.22,0.15,1.61,-0.20,-2.46,0.55
0.22,0.15,1.61,-0.11,-2.29,0.56
0.22,0.15,1.61,-0.21,-2.60,0.50
0.22,0.15,1.61,-0.34,-2.40,0.51
0.22,0.15,1.61,-0.40,-2.53,0.58
0.22,0.15,1.61,-0.50,-2.66,0.66
0.22,0.15,1.61,-0.43,-2.60,0.62
0.22,0.15,1.61,-0.19,-2.44,0.48
0.22,0.15,1.61,-0.18,-2.39,0.45
0.22,0.15,1.61,-0.05,-2.36,0.40
0.22,0.15,1.61,-0.06,-2.33,0.43
0.22,0.15,1.61,0.02,-2.37,0.37
0.22,0.15,1.61,-0.10,-2.50,0.53
0.22,0.15,1.61,-0.16,-2.40,0.46
0.22,0.15,1.61,-0.11,-2.36,0.53
0.22,0.15,1.61,-0.14,-2.48,0.56
0.22,0.15,1.61,-0.05,-2.41,0.61
0.22,0.15,1.61,-0.14,-2.43,0.50
0.22,0.15,1.61,-0.17,-2.34,0.53
0.22,0.15,1.61,-0.06,-2.33,0.63
0.22,0.15,1.61,-0.20,-2.26,0.38
0.22,0.15,1.61,-0.22,-2.54,0.51
