accX,accY,accZ,gyroX,gyroY,gyroZ
0.35,0.11,1.98,-56.26,-7.56,32.81
0.35,-0.18,2.00,-37.19,3.61,32.62
0.26,-0.10,2.00,-4.51,-14.10,21.71
0.24,-0.02,1.85,-2.82,-41.39,7.98
0.36,-0.04,1.57,-5.66,-42.41,-3.20
0.35,-0.03,1.49,-8.45,-12.01,-13.42
0.28,-0.02,1.49,-2.36,10.78,-23.45
0.19,0.00,1.51,-0.67,18.64,-33.52
0.13,0.09,1.41,3.99,16.23,-37.71
0.08,0.12,1.41,0.80,23.84,-31.36
0.08,0.13,1.41,8.16,22.22,-24.06
0.12,0.16,1.38,4.78,15.98,-19.78
0.13,0.16,1.38,2.04,10.35,-17.62
0.12,0.20,1.36,2.14,5.97,-13.24
0.13,0.20,1.40,2.77,3.99,-5.05
0.13,0.21,1.47,-2.36,-4.71,-0.08
0.11,0.25,1.46,-3.78,-18.63,3.84
0.17,0.22,1.52,-12.34,-28.15,8.41
0.20,0.16,1.66,-8.39,-28.29,11.40
0.22,0.19,1.71,3.81,-31.14,10.51
0.31,0.20,1.72,1.72,-40.13,4.47
0.36,0.21,1.79,1.23,-35.87,-3.52
0.39,0.21,1.84,8.67,-26.57,-9.32
0.36,0.21,1.91,7.76,-18.44,-18.18
0.37,0.45,1.81,18.02,-27.71,-24.02
0.47,0.48,1.69,8.35,-11.09,-21.22
0.57,0.12,2.00,-19.04,26.85,-16.61
0.37,-0.14,2.00,-4.99,51.27,-20.14
0.19,-0.10,2.00,7.66,15.93,-29.78
0.18,-0.06,1.81,18.15,-18.73,-36.03
0.28,0.05,1.34,29.58,-27.47,-39.60
0.33,0.04,1.18,21.48,2.04,-39.80
0.23,0.10,1.18,35.41,43.01,-34.62
0.15,0.18,1.28,23.69,49.47,-30.17
0.07,0.18,1.38,7.09,30.26,-27.37
0.15,0.11,1.41,-7.74,2.21,-22.47
0.22,0.07,1.41,-13.03,-2.92,-15.95
0.24,0.06,1.41,-11.39,0.14,-12.44
0.27,0.08,1.35,-10.91,-1.27,-12.04
0.27,0.10,1.34,-14.37,0.31,-14.02
0.28,0.16,1.30,-12.50,0.43,-15.17
0.28,0.18,1.30,-19.47,5.20,-15.67
0.29,0.15,1.36,-27.71,4.94,-17.46
0.25,0.09,1.50,-30.91,7.14,-15.96
0.25,0.07,1.54,-23.84,-1.32,-15.22
0.27,0.04,1.60,-24.53,-0.10,-18.57
0.20,0.10,1.65,-16.20,2.48,-20.33
0.21,0.15,1.68,-6.75,2.78,-13.92
0.20,0.17,1.74,-2.02,9.27,-8.04
0.17,0.19,1.85,-3.81,9.12,-3.14
0.13,0.22,1.90,-1.14,-4.54,3.85
0.20,0.33,1.86,6.74,-8.35,16.57
0.17,0.34,1.87,-3.71,6.54,29.01
0.11,0.15,2.00,-27.77,18.01,47.11
0.06,-0.06,2.00,-18.14,4.14,62.92
-0.10,-0.03,2.00,8.35,-40.12,65.25
0.04,0.04,1.78,28.66,-86.87,64.84
0.23,0.04,1.41,24.26,-87.96,59.75
0.34,-0.05,1.34,18.47,-60.76,44.91
0.38,-0.00,1.23,23.02,-32.90,27.62
0.28,0.02,1.29,20.40,6.46,15.96
0.23,0.04,1.34,16.48,12.57,5.00
0.19,0.07,1.36,12.08,15.29,-2.46
0.19,0.07,1.37,2.41,13.94,-6.49
0.19,0.07,1.41,-1.23,17.04,-8.73
0.18,0.09,1.44,0.01,17.32,-9.80
0.18,0.11,1.44,-1.81,13.92,-11.32
0.17,0.15,1.46,-3.08,10.77,-12.86
0.14,0.22,1.45,-1.52,7.97,-9.09
0.13,0.24,1.46,-2.18,6.71,-4.76
0.16,0.22,1.53,-4.71,-1.61,-0.79
0.18,0.20,1.58,-7.51,-7.61,-1.50
0.18,0.22,1.61,-6.10,-14.10,-4.38
0.17,0.26,1.63,-3.63,-17.52,-6.60
0.20,0.30,1.63,1.69,-20.87,-6.13
0.25,0.26,1.74,2.40,-15.20,-5.49
0.28,0.21,1.80,8.69,-11.06,-8.44
0.24,0.24,1.84,9.60,-4.91,-11.02
0.26,0.51,1.77,21.97,-15.65,-8.17
0.46,0.35,1.74,3.14,8.12,-0.68
0.40,0.13,2.00,-22.37,42.82,2.20
0.19,-0.06,2.00,-6.85,43.52,1.85
0.08,-0.04,2.00,-4.77,-1.73,-5.03
0.16,0.06,1.73,12.38,-48.34,-9.88
0.31,0.10,1.38,6.11,-45.70,-12.47
0.38,0.02,1.33,9.19,-12.52,-17.01
0.35,0.08,1.34,26.02,25.70,-19.25
0.23,0.15,1.38,28.53,45.83,-18.97
0.15,0.12,1.48,14.50,35.75,-21.77
0.13,0.10,1.46,1.83,8.96,-23.17
0.18,0.06,1.40,-2.81,5.60,-17.84
0.18,0.06,1.37,-7.81,2.69,-15.60
0.19,0.09,1.31,-9.62,-2.88,-16.53
0.22,0.12,1.25,-12.54,-4.33,-17.08
0.25,0.13,1.24,-17.36,2.41,-18.03
0.21,0.15,1.32,-20.36,12.80,-16.79
0.21,0.15,1.37,-20.78,12.71,-14.40
0.19,0.13,1.45,-23.54,11.47,-13.53
0.20,0.12,1.52,-22.38,7.16,-12.12
0.18,0.10,1.59,-24.88,4.67,-10.62
0.19,0.11,1.67,-18.07,0.27,-7.55
0.20,0.14,1.71,-7.63,2.30,-2.40
0.17,0.15,1.78,-1.14,11.41,2.61
0.09,0.14,1.97,3.01,13.73,9.61
0.04,0.10,2.00,25.18,6.00,22.64
0.09,0.31,1.92,53.38,-14.32,40.91
0.26,0.36,1.74,47.41,-17.89,50.79
0.30,0.28,1.87,-10.57,-16.10,47.44
