accX,accY,accZ,gyroX,gyroY,gyroZ
0.95,-0.45,1.72,94.70,-106.36,156.14
0.92,-0.44,1.54,155.76,-132.41,139.51
1.14,-0.37,1.21,174.62,-123.32,13.91
0.77,-0.37,0.89,147.77,-111.72,-88.76
0.53,-0.37,0.86,98.23,-161.40,-136.14
0.43,-0.36,0.98,61.07,-171.59,-145.03
0.44,-0.31,1.02,58.33,-181.02,-157.61
0.39,-0.28,0.87,73.68,-204.19,-184.92
0.27,-0.23,0.64,63.58,-214.05,-206.22
0.14,-0.20,0.50,38.73,-204.80,-211.20
-0.03,-0.10,0.35,8.06,-196.25,-204.32
-0.13,-0.01,0.34,-36.42,-206.41,-185.86
-0.12,0.08,0.44,-75.29,-187.18,-167.96
-0.23,0.12,0.53,-90.18,-105.07,-156.36
-0.22,0.16,0.57,-88.99,-43.61,-115.03
-0.21,0.26,0.53,-75.36,92.33,-91.35
-0.32,0.34,0.45,-51.69,111.47,-84.83
-0.44,0.36,0.31,-50.32,89.78,-85.78
-0.57,0.36,0.26,-81.66,89.20,-79.15
-0.66,0.37,0.32,-133.74,116.36,-76.45
-0.67,0.37,0.56,-182.87,121.80,-45.27
-0.62,0.35,0.87,-201.57,155.91,9.14
-0.59,0.35,1.09,-185.04,149.46,29.21
-0.57,0.33,1.21,-157.47,126.64,41.45
-0.60,0.34,1.28,-147.96,120.22,58.39
-0.47,0.33,1.47,-152.52,154.01,84.19
-0.45,0.26,1.55,-116.52,162.62,94.02
-0.58,0.28,1.19,-95.37,151.13,99.43
-0.57,0.13,1.44,-116.03,92.67,125.34
-0.38,0.12,1.74,-99.41,96.96,135.74
-0.31,0.10,1.86,-43.95,86.49,137.51
-0.26,0.04,1.67,23.58,77.83,130.40
-0.25,0.01,1.50,38.64,69.06,126.05
-0.20,-0.01,1.56,15.69,69.80,136.09
-0.12,-0.06,1.68,22.23,49.93,132.42
-0.07,-0.09,1.63,50.15,-3.09,113.97
-0.03,-0.12,1.54,57.22,-54.14,98.59
0.10,-0.15,1.59,55.86,-106.74,88.04
0.23,-0.19,1.62,69.71,-121.35,62.00
0.23,-0.21,1.54,96.36,-121.02,31.77
0.31,-0.25,1.46,122.67,-137.52,11.12
0.39,-0.22,1.35,165.35,-159.39,-8.80
0.48,-0.18,1.12,194.79,-168.64,-35.85
0.39,-0.10,0.96,195.59,-168.34,-80.06
0.33,-0.06,0.87,185.04,-178.31,-117.03
0.16,0.06,0.66,154.21,-168.33,-124.60
0.17,0.08,0.59,124.32,-149.64,-122.95
0.13,0.13,0.50,107.26,-146.95,-131.37
0.08,0.16,0.37,85.51,-146.07,-138.85
0.02,0.22,0.31,49.71,-146.61,-141.96
-0.02,0.25,0.38,15.51,-129.20,-143.94
