accX,accY,accZ,gyroX,gyroY,gyroZ
0.07,0.09,1.81,96.09,-73.56,-235.31
-0.37,0.46,1.07,24.63,-86.28,-202.00
-0.41,0.30,0.75,-9.00,-39.55,-141.19
-0.47,-0.22,0.75,16.86,28.37,-121.21
-0.76,-0.17,0.72,52.77,60.20,-124.85
-1.16,0.13,0.37,42.68,41.24,-90.58
-1.20,-0.00,0.08,-42.58,19.65,3.95
-0.72,-0.69,0.34,-83.71,48.64,62.46
-0.60,-0.54,0.64,-69.82,53.16,48.93
-0.53,-0.00,0.96,-142.21,-39.86,61.21
-0.49,0.47,1.36,-145.71,-37.53,86.90
-0.40,0.64,1.87,-119.51,22.98,163.26
0.17,0.18,2.00,-144.60,43.15,245.78
0.69,-1.27,2.00,-166.95,48.00,249.99
1.27,-1.97,2.00,-85.40,92.48,176.06
1.00,-0.59,2.00,71.73,33.00,-3.43
0.28,0.75,2.00,107.53,-52.89,-44.00
0.05,1.02,1.60,42.89,-32.44,49.10
0.29,0.45,1.73,74.66,27.81,112.80
0.40,0.12,1.75,113.47,36.36,112.87
0.37,0.17,1.39,96.59,-21.00,98.37
0.35,0.21,0.88,67.12,-63.31,97.60
0.48,0.17,0.54,47.15,-80.15,100.87
0.67,0.09,0.20,64.41,-57.45,86.23
0.65,0.25,0.22,86.17,-16.42,51.16
0.57,0.39,0.59,41.39,-60.10,28.82
0.62,0.56,0.74,31.89,-108.22,20.58
0.72,0.54,0.94,6.89,-59.60,16.33
0.65,0.20,2.00,19.33,91.24,37.20
0.70,0.03,2.00,19.13,73.51,86.43
0.93,-0.99,2.00,21.36,-48.39,52.04
0.74,-0.78,2.00,67.24,-88.57,-63.72
0.38,0.04,1.61,41.69,-77.19,-135.78
-0.00,0.65,1.44,12.15,-42.87,-142.35
-0.14,0.90,1.36,-14.42,-21.15,-93.86
-0.09,0.50,1.40,-28.47,8.99,-34.72
-0.03,-0.14,1.44,10.64,48.13,-18.55
-0.32,-0.41,1.21,80.28,69.31,-34.51
-0.64,-0.08,0.85,91.42,51.85,-19.97
-0.82,-0.06,0.43,55.53,31.33,33.49
-0.73,-0.33,0.42,14.33,34.68,95.11
-0.48,-0.48,0.80,-13.67,26.47,123.79
-0.13,0.20,0.92,-0.04,4.52,105.35
-0.49,0.94,0.96,-49.99,-14.17,123.42
-0.34,0.45,1.81,-125.81,-38.70,231.45
0.06,-0.24,2.00,-43.98,30.71,249.99
0.78,-1.27,2.00,-54.25,88.19,249.99
1.25,-1.30,2.00,7.05,51.41,147.63
0.70,-0.33,2.00,76.12,27.90,15.24
0.11,0.66,2.00,73.43,28.73,-4.75
-0.14,1.06,2.00,50.22,34.01,57.50
0.07,0.68,1.86,37.54,21.06,123.32
0.30,0.29,1.50,26.68,11.41,143.16
0.39,0.16,1.17,30.41,19.83,135.33
0.46,0.08,1.04,11.07,25.31,131.95
0.58,-0.01,1.02,1.57,14.79,124.78
0.71,-0.05,1.00,31.68,0.67,109.44
0.82,-0.05,0.83,85.15,-16.45,68.33
0.82,0.22,0.61,75.14,-59.49,32.30
0.73,0.13,0.74,43.81,-90.16,14.66
0.67,0.38,1.09,101.92,-85.29,1.50
0.69,1.06,1.34,132.64,-57.22,-11.26
0.38,0.71,2.00,47.88,-31.15,40.03
0.18,0.07,2.00,69.39,-38.23,75.46
0.35,-0.52,2.00,-19.10,-52.33,69.74
0.49,-0.44,2.00,-36.75,-71.30,-5.07
0.25,0.26,1.76,-6.67,-35.23,-65.81
-0.06,0.68,1.54,4.59,21.48,-69.62
-0.12,0.80,1.49,-2.11,46.85,-35.79
-0.02,0.56,1.57,-6.49,59.95,-4.62
0.04,0.24,1.52,-0.40,38.31,1.85
0.02,0.01,1.20,-5.10,8.69,-0.33
0.01,-0.15,1.00,16.63,7.38,-1.26
-0.18,0.01,0.68,81.94,34.13,4.78
-0.28,0.14,0.61,75.65,36.77,59.26
-0.12,-0.17,0.89,15.98,2.20,121.77
0.03,-0.38,1.21,-8.98,-36.11,137.38
0.32,0.02,1.35,33.55,-65.70,101.87
-0.09,0.77,1.25,75.12,-52.10,82.90
-0.09,0.70,1.64,-29.72,-72.96,167.12
0.31,0.14,2.00,-65.49,-55.61,195.03
0.76,-0.69,2.00,-91.32,-1.21,180.39
1.13,-0.69,2.00,-13.56,46.73,72.54
0.52,0.07,2.00,86.46,102.08,-30.92
-0.12,1.00,2.00,142.11,106.44,-29.02
-0.28,1.09,2.00,104.26,61.68,56.74
-0.08,0.58,1.99,68.37,39.94,125.71
0.08,0.21,1.55,89.39,48.19,140.43
0.19,0.09,1.17,95.56,68.15,148.18
0.24,0.03,1.00,88.71,84.35,157.39
0.37,-0.03,0.93,85.65,70.08,166.51
0.55,-0.07,0.67,69.85,22.95,167.81
0.76,-0.21,0.44,61.24,-1.22,158.31
0.94,-0.23,0.54,85.04,3.70,121.01
0.83,0.03,0.59,73.43,-20.79,85.50
0.70,0.20,1.13,52.43,-39.73,75.02
0.89,0.94,1.60,116.77,-38.15,65.36
0.71,0.94,2.00,119.41,-4.33,88.89
0.47,0.66,2.00,108.11,28.17,116.03
0.57,-0.00,2.00,-13.32,-24.62,132.04
0.80,-0.39,2.00,-45.96,-44.24,58.25
0.64,0.13,2.00,12.38,-0.13,-40.50
0.25,0.63,1.70,85.30,61.63,-87.02
-0.07,0.88,1.37,102.11,108.51,-67.07
-0.18,0.59,1.31,52.38,113.57,-15.72
-0.08,0.08,1.41,-5.84,81.02,10.07
-0.01,-0.24,1.22,-45.65,29.19,4.84
-0.19,-0.10,0.89,-39.41,15.83,3.61
-0.33,-0.04,0.80,10.85,49.29,30.81
-0.39,0.02,0.79,46.33,68.94,68.61
-0.33,-0.18,0.99,17.45,51.37,108.44
-0.25,-0.18,1.22,-16.18,10.93,122.08
-0.05,0.21,1.29,-1.85,-4.88,109.17
-0.25,1.03,1.36,46.22,20.96,106.53
-0.44,0.97,1.48,36.92,11.82,179.23
0.09,0.49,1.54,-22.06,5.50,236.08
0.48,-0.08,2.00,-112.95,4.29,229.50
1.03,-0.29,2.00,-115.17,-6.03,170.95
1.07,-0.17,2.00,37.45,25.26,70.21
0.80,0.25,2.00,116.69,86.81,-4.60
0.26,0.75,2.00,109.61,126.26,-28.81
-0.11,0.99,2.00,105.03,106.20,-6.84
-0.29,0.92,2.00,82.79,65.51,43.21
-0.21,0.67,1.70,62.32,27.13,99.47
0.06,0.32,1.14,64.28,21.89,134.00
0.42,0.10,0.83,61.23,30.82,146.69
0.76,0.03,0.80,34.90,10.99,148.45
0.90,-0.09,0.71,10.13,-33.42,148.28
1.06,-0.32,0.75,20.80,-47.56,133.54
0.99,-0.04,0.83,47.32,-72.83,97.97
0.72,0.11,0.77,27.79,-120.61,78.99
0.60,-0.03,0.83,22.85,-99.21,58.90
0.60,0.13,1.28,41.64,-86.14,6.00
0.28,0.64,1.32,29.05,-93.61,-55.02
-0.22,0.96,1.64,-9.51,-72.43,-36.27
-0.23,0.46,1.70,-35.77,-40.30,31.65
0.07,-0.21,1.94,-82.58,15.32,64.94
0.39,-0.60,2.00,-124.38,30.62,39.77
0.38,0.13,2.00,-35.67,51.52,-31.82
0.09,0.86,2.00,10.19,107.18,-12.71
-0.01,0.77,2.00,30.15,144.39,49.91
0.05,0.47,2.00,49.10,139.80,80.58
0.10,0.36,2.00,29.90,77.26,84.83
0.12,0.24,1.71,27.95,36.62,88.75
-0.01,0.17,1.27,58.02,52.05,99.16
-0.14,0.11,1.08,81.73,76.16,123.52
-0.12,-0.17,1.16,90.58,89.65,147.66
-0.12,-0.35,1.23,73.14,64.38,152.29
-0.10,-0.42,1.20,42.80,18.86,147.90
-0.15,-0.25,1.04,43.59,5.92,143.70
-0.12,-0.17,0.97,47.41,12.05,143.23
0.01,0.03,1.06,34.07,12.37,133.04
0.29,0.54,1.37,4.23,-7.23,123.14
0.08,0.71,1.42,-10.72,-37.94,142.54
0.25,0.39,1.33,0.59,-3.11,181.58
0.57,-0.09,1.73,9.58,49.74,185.17
0.83,0.10,1.93,18.58,35.38,141.44
0.64,0.21,1.71,-10.36,-2.32,112.34
0.42,0.24,1.81,-52.94,5.39,116.91
0.40,0.00,1.99,-71.51,0.16,115.62
0.33,-0.20,1.83,-74.91,-16.22,79.23
0.12,-0.13,1.77,-40.70,4.40,36.75
-0.08,0.12,1.75,28.14,30.54,15.40
-0.20,0.26,1.65,41.82,25.83,26.97
-0.13,0.01,1.59,27.71,4.30,39.31
-0.20,-0.04,1.53,32.07,-3.62,31.81
-0.26,0.10,1.64,36.16,-16.56,41.60
-0.28,0.22,1.62,48.26,-23.91,65.03
-0.21,0.12,1.65,27.61,-32.55,96.47
-0.14,-0.05,1.80,18.09,-35.93,109.37
-0.02,-0.14,1.93,19.98,-34.81,109.09
-0.04,0.10,1.91,71.09,-1.16,88.26
-0.15,0.41,1.94,115.09,47.10,99.31
-0.10,0.41,1.87,127.62,90.83,122.48
-0.06,0.32,2.00,58.56,112.34,134.85
-0.07,0.30,2.00,-19.91,70.34,145.47
-0.02,0.30,2.00,35.95,20.22,139.02
-0.03,0.24,2.00,51.91,32.68,139.33
-0.15,0.39,2.00,88.31,71.82,129.22
-0.22,0.39,2.00,111.85,69.82,134.95
-0.15,0.22,1.81,93.36,36.00,143.79
-0.13,0.07,1.30,62.26,24.22,145.24
0.01,-0.03,0.95,34.40,49.65,130.04
-0.00,-0.03,0.98,31.97,103.41,86.96
-0.03,0.23,1.22,70.95,113.68,64.87
0.01,0.54,1.30,111.47,68.90,86.49
0.14,0.38,0.91,94.09,-37.04,136.92
0.48,-0.21,0.29,72.96,-73.97,148.96
0.69,-0.42,0.24,57.48,-31.49,108.98
0.73,-0.13,0.46,34.48,-25.81,73.49
0.86,0.12,0.70,19.49,-71.27,71.55
